,RMSD_6eqe_PET-tetramer_1
398,0.2668218
399,0.2645081
400,0.27286693
401,0.260626
402,0.2552724
403,0.24282318
404,0.23836233
405,0.24505156
406,0.23699974
407,0.25018287
408,0.23415524
409,0.22780749
410,0.22821084
411,0.24481817
412,0.24721059
413,0.24340083
414,0.23998868
415,0.2399773
416,0.24935791
417,0.24344064
418,0.23717271
419,0.24178304
420,0.24729002
421,0.24349986
422,0.24406266
423,0.2486372
424,0.24687254
425,0.24229649
426,0.24962291
427,0.24690978
428,0.25566253
429,0.23311374
430,0.24112318
431,0.24821499
432,0.24225236
433,0.24773587
434,0.25552636
435,0.2459415
436,0.2575764
437,0.25995564
438,0.26512098
439,0.26162922
440,0.27391335
441,0.25802281
442,0.26303715
443,0.26499346
444,0.25921166
445,0.25873274
446,0.2617973
447,0.27512932
448,0.27717873
449,0.27284965
450,0.27340204
451,0.26746655
452,0.2649306
453,0.2672834
454,0.26759014
455,0.2623436
456,0.26833588
457,0.2689576
458,0.26416206
459,0.26265985
460,0.27045792
461,0.25797462
462,0.25296605
463,0.2548514
464,0.25515452
465,0.25901118
466,0.25198945
467,0.24518237
468,0.25235513
469,0.23867287
470,0.24933
471,0.25532982
472,0.26198998
473,0.2698682
474,0.25623548
475,0.26441222
476,0.2590649
477,0.24939977
478,0.2636676
479,0.2582356
480,0.24868418
481,0.24828607
482,0.26281878
483,0.24930407
484,0.25459477
485,0.2554281
486,0.2575899
487,0.26238057
488,0.263776
489,0.26590452
490,0.2554505
491,0.27141201
492,0.2679716
493,0.2681478
494,0.2655154
495,0.26905465
496,0.272702
497,0.2718183
498,0.2640256
499,0.2683933
500,0.25807577
501,0.26521567
502,0.26170805
503,0.2617489
504,0.2617033
505,0.26189604
506,0.25704318
507,0.269351
508,0.25730512
509,0.2551321
510,0.25056309
511,0.26138875
512,0.25002682
513,0.24257228
514,0.2524152
515,0.2624412
516,0.252231
517,0.2621673
518,0.26082808
519,0.25671226
520,0.26038268
521,0.2807153
522,0.2675855
523,0.27198195
524,0.26963416
525,0.26328084
526,0.25753877
527,0.26674166
528,0.26192167
529,0.26563424
530,0.26233888
531,0.2553775
532,0.2595882
533,0.26995477
534,0.27034026
535,0.2766779
536,0.26524845
537,0.26140776
538,0.24756826
539,0.27494314
540,0.2736728
541,0.26939714
542,0.26647037
543,0.27274394
544,0.25870582
545,0.2684137
546,0.26154086
547,0.26601386
548,0.26510036
549,0.26938516
550,0.27309
551,0.25979495
552,0.26707038
553,0.25020173
554,0.25370675
555,0.25662804
556,0.2630929
557,0.25168645
558,0.26152945
559,0.27155483
560,0.26776284
561,0.25792742
562,0.26482174
563,0.26500002
564,0.26377884
565,0.26859048
566,0.27287513
567,0.27120313
568,0.2678807
569,0.2680087
570,0.2672955
571,0.26196435
572,0.26017547
573,0.26586807
574,0.25871256
575,0.27104086
576,0.27512482
577,0.26256427
578,0.26311746
579,0.26848125
580,0.26571283
581,0.2640943
582,0.2591119
583,0.26748422
584,0.26187515
585,0.26374018
586,0.2531605
587,0.27305725
588,0.2625709
589,0.25367248
590,0.267513
591,0.26726112
592,0.26094526
593,0.27122238
594,0.26113093
595,0.27382353
596,0.27268195
597,0.2686756
598,0.26312408
599,0.2609443
600,0.26518753
601,0.2573959
602,0.26713088
603,0.25442776
604,0.25901982
605,0.2568381
606,0.24931404
607,0.26142773
608,0.24796954
609,0.2693418
610,0.2550834
611,0.263776
612,0.25845978
613,0.26233414
614,0.2570103
615,0.2585809
616,0.2731892
617,0.26845628
618,0.2712966
619,0.26444793
620,0.26484334
621,0.2579033
622,0.26601574
623,0.2594551
624,0.26740614
625,0.2654124
626,0.26120803
627,0.2577327
628,0.27071878
629,0.2528127
630,0.25866547
631,0.25792164
632,0.26021272
633,0.26374492
634,0.27050847
635,0.26759848
636,0.26178688
637,0.26715228
638,0.2708005
639,0.27563748
640,0.27092713
641,0.26739407
642,0.27845544
643,0.25905818
644,0.24684234
645,0.25438282
646,0.24996719
647,0.24025884
648,0.24720657
649,0.24962789
650,0.24425608
651,0.24520873
652,0.25592196
653,0.26136595
654,0.2552198
655,0.25296506
656,0.24649067
657,0.25034276
658,0.25019976
659,0.24969658
660,0.24718143
661,0.25385565
662,0.25937462
663,0.25307015
664,0.27326015
665,0.26174226
666,0.26881897
667,0.26776934
668,0.255137
669,0.2581249
670,0.2538057
671,0.26148003
672,0.26809216
673,0.260206
674,0.25505027
675,0.25812972
676,0.26021558
677,0.26537305
678,0.2630173
679,0.24223493
680,0.25797367
681,0.24809179
682,0.2502415
683,0.25034475
684,0.24683328
685,0.25135443
686,0.24960996
687,0.25300336
688,0.2682553
689,0.26244307
690,0.26799944
691,1.0782642
692,1.0703881
693,1.0832802
694,1.0845039
695,1.0914367
696,1.0930723
697,1.0802796
698,0.29008603
699,0.27473155
700,0.2825879
701,1.0802925
702,1.0187366
703,1.0544517
704,1.0473506
705,1.0650946
706,0.27766433
707,0.265883
708,0.27358288
709,0.26078424
710,0.26140016
711,0.24646848
712,0.25350195
713,0.25046983
714,0.25849438
715,0.24831711
716,0.24854222
717,0.26748422
718,0.25524023
719,0.25608313
720,0.26730388
721,0.2621692
722,0.2579226
723,0.25971553
724,0.25963897
725,0.2694165
726,0.26012194
727,0.25326064
728,0.25452644
729,0.25718722
730,0.25630045
731,0.26023087
732,0.26032445
733,0.25894207
734,0.26009712
735,0.25418735
736,0.26171565
737,0.26599798
738,0.25940624
739,0.26392013
740,0.2563625
741,0.25036263
742,0.25955376
743,0.25737464
744,0.25689617
745,0.2534029
746,0.2594963
747,0.25659898
748,0.2538155
749,0.2584463
750,0.25441703
751,0.2546592
752,0.2645184
753,0.26318076
754,0.25506195
755,0.26072896
756,0.25938514
757,0.2579862
758,0.2563596
759,0.25910425
760,0.26282918
761,0.27239376
762,0.26221567
763,0.26739684
764,0.28103474
765,0.28297377
766,0.28255096
767,0.27978668
768,0.27375814
769,0.27604386
770,0.26881343
771,0.26711598
772,0.26883283
773,0.26608765
774,0.2674257
775,0.26700243
776,0.27657458
777,0.26195392
778,0.27354744
779,0.26968762
780,0.26869226
781,0.27061686
782,0.2695558
783,0.27535596
784,0.27101794
785,0.26733735
786,0.2691045
787,0.26662236
788,0.28439575
789,0.28663653
790,0.28646392
791,0.28725067
792,0.28538948
793,0.27940443
794,0.29011258
795,0.28971738
796,0.29197007
797,0.2847329
798,0.28487167
799,0.2804584
800,0.28698057
801,0.29172137
802,0.28226316
803,0.27976537
804,0.2744301
805,0.28155428
806,0.279856
807,0.28946075
808,0.28699616
809,0.27408844
810,0.28364226
811,0.27572042
812,0.27693743
813,0.264525
814,0.2674582
815,0.26641905
816,0.26120135
817,0.9701674
818,0.25910807
819,0.26043326
820,0.2647551
821,0.26066318
822,0.2693492
823,0.26283485
824,0.27072614
825,0.27520612
826,0.2719472
827,0.27113438
828,0.27153194
829,0.27053696
830,0.28121066
831,0.26146862
832,0.2582837
833,0.25965524
834,0.25046486
835,0.24738348
836,0.25759473
837,0.26555938
838,0.25378907
839,0.9549224
840,0.95279866
841,0.95451
842,0.9352477
843,0.9448969
844,0.9515421
845,0.9232888
846,0.93443257
847,0.24486282
848,0.25386542
849,0.25282452
850,0.2534431
851,0.2534588
852,0.25325572
853,0.27050388
854,0.26844886
855,0.2679781
856,0.2682108
857,0.2708216
858,0.2747623
859,0.26783615
860,0.25393787
861,0.27122512
862,0.26233605
863,0.2742924
864,0.27217105
865,0.2606918
866,0.2627053
867,0.27146602
868,0.26765049
869,0.26821822
870,0.27251694
871,0.27798104
872,0.26830253
873,0.27799267
874,0.2792843
875,0.28776765
876,0.29042602
877,0.27314916
878,0.27120772
879,0.28315026
880,0.28185603
881,0.28269693
882,0.28523266
883,0.27768493
884,0.28759053
885,0.27813122
886,0.25639936
887,0.2649897
888,0.26808012
889,0.2759484
890,0.26787236
891,1.0094917
892,1.006244
893,1.0168446
894,1.0304887
895,1.0261815
896,1.0189229
897,1.0109005
898,1.0221522
899,0.27406213
900,1.02633
901,1.0185618
902,1.0313209
903,1.0255046
904,1.0114152
905,0.27489796
906,1.0133351
907,0.25622675
908,0.25954705
909,0.27174607
910,0.2658662
911,0.2663108
912,0.26910177
913,0.263193
914,0.25779343
915,0.2540651
916,0.26924396
917,0.2648565
918,0.25854245
919,1.0278043
920,0.25901788
921,0.26436898
922,0.27007994
923,0.26317793
924,0.2768683
925,0.26503283
926,0.2577327
927,0.2553483
928,0.25569847
929,0.26694378
930,0.2604762
931,0.25852033
932,0.26167956
933,0.25401813
934,0.25429294
935,0.2592922
936,0.24585558
937,0.25954992
938,0.25583744
939,1.0471648
940,0.26532996
941,0.26324683
942,0.2614819
943,0.2711289
944,0.2733211
945,0.25883934
946,0.26206017
947,0.25013617
948,0.26069558
949,0.25587535
950,0.25561875
951,0.25569752
952,0.2502713
953,0.25227728
954,0.2555001
955,0.25843477
956,0.25602585
957,0.26749536
958,0.27173966
959,0.26752418
960,0.27135065
961,0.2710647
962,0.26733458
963,0.25797078
964,0.26117375
965,0.25884414
966,0.25641775
967,0.2541228
968,0.25813353
969,0.2541766
970,0.26003593
971,0.25684488
972,0.24761043
973,0.2658213
974,0.26672116
975,0.26868948
976,0.2661792
977,0.25425482
978,0.26278758
979,0.2606908
980,0.2529798
981,0.2548738
982,0.2607585
983,0.2542499
984,0.2525796
985,0.2626485
986,0.25452644
987,1.0159988
988,0.27988794
989,0.2901289
990,0.27862495
991,0.2752296
992,0.28405297
993,0.2779408
994,0.28314584
995,0.27464467
996,0.27691588
997,0.29591134
998,0.2946951
999,0.29088607
1000,0.26888368
1001,0.28417018
1002,0.27793008
1003,0.2864804
1004,0.28697452
