#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2500000,5000.000000101135,-777676.4476087037,88369.77619112108,-689306.6714175827,199.20607821540568,487.2762385361507,1.0860453980560507
2550000,5100.000000121508,-752706.3845759067,99760.35492891038,-652946.0296469963,224.88309830937277,487.92525902427616,1.0846007798459127
2600000,5200.00000014188,-752533.4942918639,100020.75465612742,-652512.7396357364,225.47010000455734,488.40991322539315,1.0835245192904794
2650000,5300.000000162253,-751422.3991622962,100213.388546062,-651209.0106162343,225.9043417034641,487.560012262216,1.0854132888971137
2700000,5400.000000182626,-751477.1666256096,99866.87941192547,-651610.2872136842,225.12322932938878,488.18340107847973,1.084027263678256
2750000,5500.000000202998,-752103.8320612051,99614.64332934609,-652489.188731859,224.55463039250353,486.58716946712553,1.087583375911441
2800000,5600.000000223371,-752240.8130879169,99054.41318338411,-653186.3999045328,223.29174103049178,487.76932801784295,1.0849475070414643
2850000,5700.000000243744,-752658.4448464699,99663.90148289566,-652994.5433635742,224.66566975473438,487.3793634552489,1.0858156009981337
2900000,5800.000000264116,-753465.8203973002,99314.62170013692,-654151.1986971633,223.8783116927108,487.41458770599206,1.0857371317812594
2950000,5900.000000284489,-753509.389093393,100004.53636057253,-653504.8527328204,225.43354018521546,486.9354296523004,1.086805527423073
3000000,6000.000000304862,-753690.0548104262,99515.99205530438,-654174.0627551218,224.33224742108692,487.5228333362764,1.0854960634822661
3050000,6100.000000325234,-727928.4519896572,111738.29576261611,-616190.1562270412,251.88416950613816,492.3209129479556,1.0749169952489757
3100000,6200.000000345607,-729581.5373089942,110422.82579614909,-619158.7115128451,248.91879351080578,490.01860910084554,1.079967386167857
3150000,6300.00000036598,-729169.0595921213,111624.81333229633,-617544.246259825,251.62835365070967,490.6371765260452,1.0786058247588914
3200000,6400.000000386352,-729027.824761021,110950.41138860994,-618077.413372411,250.10809443841902,490.7301474419173,1.0784014782928848
3250000,6500.000000406725,-727202.6905645225,110970.43092868585,-616232.2596358367,250.1532231491399,490.97686529131397,1.077859577212978
3300000,6600.000000427098,-729060.6857919912,111639.14343168616,-617421.5423603051,251.66065703567818,490.43192648946115,1.0790572306993167
3350000,6700.0000004474705,-727747.4130564942,111330.41441558948,-616416.9986409047,250.96470985578594,490.2171050265186,1.0795300919081992
3400000,6800.000000467843,-728270.6134837163,110621.83210174576,-617648.7813819705,249.36740012029082,491.56099662122324,1.0765787360709418
3450000,6900.000000488216,-729078.876972443,110824.45160976263,-618254.4253626803,249.82415173041917,491.2961666653111,1.0771590587328197
3500000,7000.0000005085885,-729322.8594908519,111638.16120662802,-617684.6982842239,251.65844287139956,490.9135064318409,1.0779986892003028
3550000,7100.000000528961,-705960.9733064151,121543.11846298588,-584417.8548434293,273.9865257858895,496.68209221403816,1.0654785520557801
3600000,7200.000000549334,-705260.4733660808,122347.44001160629,-582913.0333544745,275.7996540773801,496.73351352462123,1.0653682548802261
3650000,7300.000000569707,-704817.8309175153,122916.78256988036,-581901.048347635,277.08308494122673,496.1646045450418,1.066589820387334
3700000,7400.000000590079,-705847.9205176467,122122.7144096524,-583725.2061079943,275.2930701776652,495.5850173198354,1.0678371983604917
3750000,7500.000000610452,-707401.5813443745,122466.51589947531,-584935.0654448991,276.06807889019285,495.59267877292694,1.0678206904802203
3800000,7600.000000630825,-706044.9256071555,122969.42248451995,-583075.5031226357,277.201747581384,495.87295706432974,1.0672171347621908
3850000,7700.000000651197,-704941.1342851431,121914.08016324823,-583027.0541218949,274.8227599449255,495.83820576306454,1.0672919317095309
3900000,7800.00000067157,-706354.9866413986,121913.34623267295,-584441.6404087257,274.821105494299,495.5507040612478,1.0679111382693984
3950000,7900.000000691943,-705877.1388324881,122727.81998632371,-583149.3188461644,276.65711922283043,496.0028938834857,1.0669375581678813
4000000,8000.000000712315,-706015.0765594845,122292.04272915075,-583723.0338303337,275.6747756873082,494.99117481512224,1.0691182860823836
4050000,8100.000000732688,-683351.3255581106,133649.98357913914,-549701.3419789715,301.2782223729191,502.03399733185455,1.0541200780361382
4100000,8200.00000075306,-683248.4965836178,134377.29834819198,-548871.1982354257,302.9177594297723,503.360537347377,1.051342084210779
4150000,8300.000000773432,-684946.6068193335,133840.81836449855,-551105.788454835,301.7084084706672,502.4755415810185,1.0531937828837004
4200000,8400.000000793805,-684338.5510066012,133733.5779859572,-550604.9730206439,301.4666636552299,502.0821700158278,1.054018939624098
4250000,8500.000000814178,-685686.7211755817,133024.01077354117,-552662.7104020405,299.86713372873186,501.7615612566577,1.0546924222709717
4300000,8600.00000083455,-683600.0596579988,133735.37175408297,-549864.6879039159,301.4707072267875,502.32048555645684,1.053518882189348
4350000,8700.000000854923,-684866.8226962043,133329.904659485,-551536.9180367193,300.55668986427247,501.4812293673934,1.0552820034995671
4400000,8800.000000875296,-683971.1602947656,133329.3060104386,-550641.854284327,300.55534036975183,503.8638798435114,1.0502918300248225
4450000,8900.000000895669,-684022.2382618762,133081.09151711367,-550941.1467447625,299.9958070326463,502.9410480807188,1.0522189796672055
4500000,9000.000000916041,-685082.4993636417,133885.68758956733,-551196.8117740743,301.80955416486006,502.90451694282905,1.052295413175638
