,RMSD_6eqe_1
399,0.16117832
400,0.16758284
401,0.15852639
402,0.16410294
403,0.16204426
404,0.16394754
405,0.16149274
406,0.15923715
407,0.15698649
408,0.16328071
409,0.15576717
410,0.16347885
411,0.15355696
412,0.162713
413,0.1575295
414,0.16211818
415,0.16406566
416,0.1610644
417,0.16587508
418,0.1633369
419,0.17476666
420,0.1646674
421,0.16716555
422,0.16564286
423,0.17517313
424,0.16872737
425,0.17398605
426,0.1685611
427,0.16236328
428,0.1595458
429,0.15876901
430,0.16172618
431,0.16524225
432,0.16276626
433,0.16301353
434,0.17156197
435,0.17650539
436,0.18037957
437,0.17364727
438,0.16779415
439,0.16616526
440,0.16635998
441,0.16719146
442,0.16604711
443,0.16166785
444,0.15847653
445,0.15275139
446,0.15617903
447,0.15559033
448,0.1461139
449,0.15353039
450,0.14873178
451,0.1583639
452,0.15491386
453,0.16415109
454,0.16289464
455,0.16743219
456,0.16477726
457,0.17043798
458,0.17946433
459,0.18225782
460,0.18493883
461,0.1788297
462,0.18440327
463,0.19309525
464,0.18116361
465,0.18390217
466,0.18926182
467,0.18691722
468,0.17422615
469,0.18757068
470,0.18881953
471,0.19861758
472,0.18696086
473,0.16074756
474,0.17400801
475,0.17059644
476,0.17170009
477,0.16453111
478,0.17406368
479,0.16869865
480,0.16672121
481,0.17021498
482,0.17274652
483,0.17451124
484,0.16668604
485,0.1707219
486,0.18427327
487,0.18236268
488,0.17333136
489,0.17730081
490,0.17680122
491,0.18942204
492,0.17664975
493,0.18527073
494,0.17340194
495,0.17027338
496,0.16126211
497,0.15740487
498,0.16618061
499,0.16582742
500,0.15558541
501,0.16423337
502,0.16474323
503,0.17138506
504,0.18528035
505,0.18177183
506,0.17675939
507,0.1706756
508,0.17335637
509,0.17554528
510,0.1883938
511,0.18976085
512,0.19423248
513,0.2097426
514,0.19880487
515,0.20870578
516,0.20046102
517,0.18973264
518,0.1936647
519,0.18659782
520,0.18836944
521,0.17958644
522,0.1695728
523,0.17514694
524,0.17569187
525,0.18876688
526,0.19520777
527,0.18244372
528,0.19033091
529,0.19046746
530,0.20434132
531,0.19199376
532,0.1936884
533,0.17636524
534,0.19080576
535,0.19750172
536,0.19611584
537,0.21625778
538,0.21507345
539,0.21432307
540,0.21480067
541,0.20805377
542,0.23891547
543,0.24596639
544,0.2183085
545,0.20966968
546,0.22137195
547,0.23509187
548,0.22402297
549,0.21773675
550,0.20924251
551,0.208432
552,0.22436747
553,0.22134086
554,0.21665113
555,0.20118453
556,0.19946028
557,0.20955415
558,0.22880228
559,0.20643139
560,0.20372914
561,0.1940526
562,0.21142639
563,0.2211058
564,0.21791813
565,0.21796024
566,0.2289838
567,0.22773694
568,0.22327527
569,0.23634416
570,0.22097203
571,0.22970182
572,0.2255358
573,0.2321974
574,0.21371444
575,0.22223276
576,0.22295651
577,0.22974621
578,0.23098885
579,0.23408891
580,0.22295651
581,0.21060131
582,0.22840084
583,0.22664972
584,0.22487022
585,0.2310054
586,0.22539106
587,0.2283093
588,0.22573575
589,0.22693409
590,0.23319209
591,0.22098702
592,0.22697115
593,0.22313936
594,0.21923597
595,0.22775373
596,0.23754263
597,0.23757374
598,0.23447734
599,0.23909464
600,0.23289347
601,0.249797
602,0.23938766
603,0.24924023
604,0.23165223
605,0.23625678
606,0.24557017
607,0.25501028
608,0.24069914
609,0.24633092
610,0.2546021
611,0.24188027
612,0.22231647
613,0.22866297
614,0.23618555
615,0.24445173
616,0.24034941
617,0.23616289
618,0.2262715
619,0.22850014
620,0.22678576
621,0.23600525
622,0.22933197
623,0.2290172
624,0.23383069
625,0.22184128
626,0.23525663
627,0.2356864
628,0.23464689
629,0.22608666
